Hex	Decimal	Name
U+000493	1171	CYRILLIC SMALL LETTER GHE WITH STROKE
U+000495	1173	CYRILLIC SMALL LETTER GHE WITH MIDDLE HOOK
U+000497	1175	CYRILLIC SMALL LETTER ZHE WITH DESCENDER
U+000499	1177	CYRILLIC SMALL LETTER ZE WITH DESCENDER
U+00049B	1179	CYRILLIC SMALL LETTER KA WITH DESCENDER
U+00049D	1181	CYRILLIC SMALL LETTER KA WITH VERTICAL STROKE
U+00049F	1183	CYRILLIC SMALL LETTER KA WITH STROKE
U+0004A1	1185	CYRILLIC SMALL LETTER BASHKIR KA
U+0004A3	1187	CYRILLIC SMALL LETTER EN WITH DESCENDER
U+0004A5	1189	CYRILLIC SMALL LIGATURE EN GHE
U+0004A7	1191	CYRILLIC SMALL LETTER PE WITH MIDDLE HOOK
U+0004A9	1193	CYRILLIC SMALL LETTER ABKHASIAN HA
U+0004AB	1195	CYRILLIC SMALL LETTER ES WITH DESCENDER
U+0004AD	1197	CYRILLIC SMALL LETTER TE WITH DESCENDER
U+0004AF	1199	CYRILLIC SMALL LETTER STRAIGHT U
U+0004B1	1201	CYRILLIC SMALL LETTER STRAIGHT U WITH STROKE
U+0004B3	1203	CYRILLIC SMALL LETTER HA WITH DESCENDER
